exp_name,dataset,drift_detector,sample_selector,memory_manager,anti_forgetting,anomaly_scorer,f1,precision,recall,fpr,balanced_accuracy,bwt,fwt,label_efficiency,avg_inference_ms
dummy__dr=ssf__sl=ssf__mm=fifo__af=lwf__sc=mad,dummy,ssf,ssf,fifo,lwf_ssf,cade_mad,0.161,0.3333,0.0549,0.1333,0.4608,0.021,-0.3363,0.6988,0.3
dummy__dr=ssf__sl=ssf__mm=ssf__af=none__sc=pca,dummy,ssf,ssf,ssf,none,pca,0.6501,0.5385,0.6923,0.72,0.4862,-0.0165,0.1102,0.6988,0.83
dummy__dr=ssf__sl=ssf__mm=ssf__af=none__sc=mad,dummy,ssf,ssf,ssf,none,cade_mad,0.0711,0.5714,0.044,0.04,0.502,-0.012,-0.4261,0.6988,0.37
dummy__dr=ssf__sl=ssf__mm=ssf__af=cnd__sc=pca,dummy,ssf,ssf,ssf,cndids,pca,0.602,0.5568,0.5385,0.52,0.5092,-0.0023,0.049,0.6988,0.83
dummy__dr=ssf__sl=ssf__mm=ssf__af=cnd__sc=mad,dummy,ssf,ssf,ssf,cndids,cade_mad,0.1027,0.6154,0.0879,0.0667,0.5106,-0.0005,-0.3897,0.6988,0.29
dummy__dr=ssf__sl=ssf__mm=ssf__af=gpm__sc=pca,dummy,ssf,ssf,ssf,gpm,pca,0.5476,0.5,0.4945,0.6,0.4473,0.0022,-0.028,0.6988,0.91
dummy__dr=ssf__sl=ssf__mm=ssf__af=gpm__sc=mad,dummy,ssf,ssf,ssf,gpm,cade_mad,0.1221,0.625,0.0549,0.04,0.5075,0.0,-0.3951,0.6988,0.28
dummy__dr=ssf__sl=ssf__mm=ssf__af=lwf__sc=pca,dummy,ssf,ssf,ssf,lwf_ssf,pca,0.5985,0.5591,0.5714,0.5467,0.5124,0.0027,0.0485,0.6988,0.83
dummy__dr=ssf__sl=ssf__mm=ssf__af=lwf__sc=mad,dummy,ssf,ssf,ssf,lwf_ssf,cade_mad,0.125,0.6667,0.0879,0.0533,0.5173,0.0212,-0.3776,0.6988,0.31
dummy__dr=ssf__sl=ssf__mm=cnd__af=none__sc=pca,dummy,ssf,ssf,cndids,none,pca,0.7811,0.9412,0.9639,0.0602,,,,,
dummy__dr=ssf__sl=ssf__mm=cnd__af=none__sc=mad,dummy,ssf,ssf,cndids,none,cade_mad,0.2376,0.2857,0.0241,0.0602,,,,,
dummy__dr=ssf__sl=ssf__mm=cnd__af=cnd__sc=pca,dummy,ssf,ssf,cndids,cndids,pca,0.7793,0.9425,0.988,0.0602,,,,,
dummy__dr=ssf__sl=ssf__mm=cnd__af=cnd__sc=mad,dummy,ssf,ssf,cndids,cndids,cade_mad,0.2088,0.5833,0.0843,0.0602,,,,,
dummy__dr=ssf__sl=ssf__mm=cnd__af=gpm__sc=pca,dummy,ssf,ssf,cndids,gpm,pca,0.7827,0.9425,0.988,0.0602,,,,,
dummy__dr=ssf__sl=ssf__mm=cnd__af=gpm__sc=mad,dummy,ssf,ssf,cndids,gpm,cade_mad,0.2697,0.5455,0.0723,0.0602,,,,,
dummy__dr=ssf__sl=ssf__mm=cnd__af=lwf__sc=pca,dummy,ssf,ssf,cndids,lwf_ssf,pca,0.7897,0.9432,1.0,0.0602,,,,,
